YEAR,TEMP
1965-11,41.28
1965-12,31.21
1966-01,32.21
1966-02,32.83
1966-03,38.23
1966-04,45.71
1966-05,53.25
1966-06,56.14
1966-07,62.65
1966-08,64.69
1966-09,60.02
1966-10,48.67
1966-11,40.57
1966-12,34.91
1967-01,35.08
1967-02,37.03
1967-03,36.71
1967-04,38.02
1967-05,50.70
1967-06,58.47
1967-07,66.85
1967-08,69.10
1967-09,62.85
1967-10,48.78
1967-11,40.70
1967-12,30.16
1968-01,31.65
1968-02,39.43
1968-03,41.60
1968-04,41.75
1968-05,50.33
1968-06,58.49
1968-07,66.57
1968-08,61.40
1968-09,58.15
1968-10,47.57
1968-11,38.68
1968-12,30.93
1969-01,27.72
1969-02,30.80
1969-03,37.27
1969-04,44.06
1969-05,54.05
1969-06,59.54
1969-07,63.65
1969-08,63.22
1969-09,58.95
1969-10,44.46
1969-11,40.16
1969-12,34.79
1970-01,33.55
1970-02,38.33
1970-03,38.22
1970-04,38.68
1970-05,50.81
1970-06,60.91
1970-07,66.08
1970-08,65.26
1970-09,53.91
1970-10,46.21
1970-11,39.34
1970-12,30.21
1971-01,32.93
1971-02,35.54
1971-03,34.57
1971-04,41.94
1971-05,50.90
1971-06,54.48
1971-07,65.24
1971-08,68.44
1971-09,54.25
1971-10,45.18
1971-11,37.60
1971-12,29.78
1972-01,29.48
1972-02,34.56
1972-03,41.82
1972-04,40.98
1972-05,52.18
1972-06,59.02
1972-07,65.67
1972-08,66.14
1972-09,54.35
1972-10,47.69
1972-11,38.28
1972-12,26.61
1973-01,29.46
1973-02,36.36
1973-03,37.93
1973-04,43.81
1973-05,53.37
1973-06,58.63
1973-07,65.83
1973-08,63.93
1973-09,57.98
1973-10,47.75
1973-11,36.73
1973-12,36.55
1974-01,28.16
1974-02,34.96
1974-03,38.39
1974-04,42.60
1974-05,48.68
1974-06,61.07
1974-07,63.93
1974-08,64.79
1974-09,61.33
1974-10,49.05
1974-11,39.79
1974-12,33.76
1975-01,31.74
1975-02,32.32
1975-03,35.79
1975-04,37.83
1975-05,49.33
1975-06,56.09
1975-07,66.60
1975-08,61.12
1975-09,59.75
1975-10,47.55
1975-11,36.58
1975-12,35.25
1976-01,33.49
1976-02,33.88
1976-03,35.18
1976-04,41.73
1976-05,51.92
1976-06,54.44
1976-07,64.73
1976-08,60.66
1976-09,59.86
1976-10,49.37
1976-11,42.10
1976-12,33.40
1977-01,27.63
1977-02,37.60
1977-03,36.28
1977-04,46.86
1977-05,46.10
1977-06,61.66
1977-07,63.84
1977-08,67.98
1977-09,56.14
1977-10,48.84
1977-11,37.34
1977-12,35.87
1978-01,34.59
1978-02,37.08
1978-03,43.40
1978-04,43.01
1978-05,48.35
1978-06,58.21
1978-07,64.80
1978-08,63.28
1978-09,55.15
1978-10,50.87
1978-11,33.66
1978-12,27.69
1979-01,22.03
1979-02,33.08
1979-03,40.88
1979-04,43.38
1979-05,52.47
1979-06,58.66
1979-07,65.57
1979-08,63.92
1979-09,61.29
1979-10,51.87
1979-11,35.75
1979-12,35.77
1980-01,30.02
1980-02,37.19
1980-03,37.66
1980-04,46.05
1980-05,50.25
1980-06,53.96
1980-07,65.09
1980-08,61.60
1980-09,58.47
1980-10,49.61
1980-11,40.07
1980-12,36.22
1981-01,35.74
1981-02,35.41
1981-03,40.06
1981-04,44.81
1981-05,49.86
1981-06,56.43
1981-07,63.06
1981-08,66.93
1981-09,58.68
1981-10,46.12
1981-11,40.29
1981-12,35.05
1982-01,28.71
1982-02,32.31
1982-03,37.52
1982-04,40.05
1982-05,49.62
1982-06,58.54
1982-07,62.80
1982-08,64.71
1982-09,55.72
1982-10,47.00
1982-11,34.38
1982-12,31.51
1983-01,35.36
1983-02,37.56
1983-03,40.70
1983-04,41.65
1983-05,51.76
1983-06,55.41
1983-07,60.59
1983-08,65.23
1983-09,55.88
1983-10,49.09
1983-11,39.12
1983-12,27.15
1984-01,30.67
1984-02,34.02
1984-03,40.37
1984-04,41.25
1984-05,49.19
1984-06,54.46
1984-07,65.73
1984-08,65.39
1984-09,55.97
1984-10,44.11
1984-11,36.57
1984-12,27.58
1985-01,27.66
1985-02,30.02
1985-03,35.36
1985-04,46.92
1985-05,51.23
1985-06,59.17
1985-07,69.17
1985-08,62.30
1985-09,52.43
1985-10,46.16
1985-11,28.76
1985-12,26.48
1986-01,35.33
1986-02,36.99
1986-03,43.89
1986-04,42.82
1986-05,50.75
1986-06,62.39
1986-07,60.99
1986-08,68.39
1986-09,52.59
1986-10,49.75
1986-11,39.44
1986-12,32.57
1987-01,29.65
1987-02,35.92
1987-03,39.69
1987-04,49.51
1987-05,53.83
1987-06,60.84
1987-07,61.96
1987-08,63.92
1987-09,60.50
1987-10,53.51
1987-11,39.47
1987-12,30.64
1988-01,29.81
1988-02,37.20
1988-03,39.24
1988-04,46.20
1988-05,49.67
1988-06,58.01
1988-07,66.15
1988-08,64.50
1988-09,58.17
1988-10,55.66
1988-11,38.04
1988-12,31.75
1989-01,30.33
1989-02,25.57
1989-03,38.41
1989-04,47.91
1989-05,49.48
1989-06,59.34
1989-07,63.75
1989-08,61.55
1989-09,58.20
1989-10,47.46
1989-11,39.94
1989-12,34.59
1990-01,34.02
1990-02,32.05
1990-03,40.67
1990-04,49.14
1990-05,48.71
1990-06,57.12
1990-07,67.11
1990-08,65.33
1990-09,62.18
1990-10,46.92
1990-11,38.82
1990-12,23.85
1991-01,31.18
1991-02,41.37
1991-03,36.57
1991-04,41.96
1991-05,46.89
1991-06,53.38
1991-07,65.69
1991-08,66.42
1991-09,61.39
1991-10,50.37
1991-11,38.92
1991-12,33.79
1992-01,34.35
1992-02,40.61
1992-03,44.19
1992-04,47.93
1992-05,56.68
1992-06,61.93
1992-07,63.55
1992-08,66.67
1992-09,57.38
1992-10,50.95
1992-11,36.64
1992-12,28.72
1993-01,25.75
1993-02,29.25
1993-03,40.46
1993-04,42.89
1993-05,54.10
1993-06,55.08
1993-07,57.33
1993-08,61.62
1993-09,58.92
1993-10,51.04
1993-11,33.56
1993-12,33.12
1994-01,36.28
1994-02,32.51
1994-03,42.06
1994-04,46.19
1994-05,52.80
1994-06,57.05
1994-07,67.75
1994-08,65.37
1994-09,61.31
1994-10,46.84
1994-11,31.52
1994-12,31.51
1995-01,34.10
1995-02,40.96
1995-03,38.48
1995-04,42.49
1995-05,50.99
1995-06,55.91
1995-07,64.22
1995-08,61.75
1995-09,60.86
1995-10,47.07
1995-11,42.95
1995-12,34.13
1996-01,33.46
1996-02,34.14
1996-03,40.06
1996-04,44.91
1996-05,48.10
1996-06,57.20
1996-07,67.98
1996-08,65.95
1996-09,55.85
1996-10,47.93
1996-11,39.45
1996-12,33.63
1997-01,32.31
1997-02,35.00
1997-03,40.36
1997-04,42.72
1997-05,55.04
1997-06,56.52
1997-07,63.32
1997-08,66.06
1997-09,59.22
1997-10,47.21
1997-11,40.86
1997-12,31.77
1998-01,35.43
1998-02,35.71
1998-03,39.66
1998-04,43.41
1998-05,48.06
1998-06,56.16
1998-07,68.63
1998-08,67.07
1998-09,62.04
1998-10,47.08
1998-11,38.56
1998-12,29.99
1999-01,34.58
1999-02,32.99
1999-03,37.53
1999-04,41.48
1999-05,47.87
1999-06,55.87
1999-07,63.20
1999-08,65.29
1999-09,58.17
1999-10,50.44
1999-11,43.18
1999-12,34.31
2000-01,32.23
2000-02,37.02
2000-03,38.18
2000-04,47.31
2000-05,51.16
2000-06,59.37
2000-07,64.20
2000-08,65.60
2000-09,56.82
2000-10,47.73
2000-11,33.72
2000-12,33.18
2001-01,31.84
2001-02,32.74
2001-03,40.83
2001-04,41.53
2001-05,54.24
2001-06,56.15
2001-07,64.30
2001-08,67.15
2001-09,60.71
2001-10,49.18
2001-11,40.19
2001-12,31.47
2002-01,31.86
2002-02,35.15
2002-03,36.35
2002-04,44.93
2002-05,49.60
2002-06,59.66
2002-07,68.34
2002-08,63.03
2002-09,59.09
2002-10,46.61
2002-11,39.92
2002-12,35.34
2003-01,38.67
2003-02,35.17
2003-03,40.71
2003-04,41.79
2003-05,50.60
2003-06,60.80
2003-07,69.66
2003-08,66.61
2003-09,61.11
2003-10,52.58
2003-11,34.48
2003-12,34.12
2004-01,31.71
2004-02,34.36
2004-03,44.00
2004-04,46.62
2004-05,51.03
2004-06,59.08
2004-07,67.45
2004-08,66.65
2004-09,56.57
2004-10,48.72
2004-11,38.21
2004-12,35.35
2005-01,33.36
2005-02,36.22
2005-03,42.14
2005-04,43.68
2005-05,51.90
2005-06,54.49
2005-07,67.14
2005-08,67.20
2005-09,56.23
2005-10,48.96
2005-11,37.66
2005-12,31.25
2006-01,34.92
2006-02,33.20
2006-03,35.91
2006-04,44.38
2006-05,52.84
2006-06,60.65
2006-07,69.51
2006-08,64.25
2006-09,59.00
2006-10,48.05
2006-11,38.21
2006-12,32.41
2007-01,29.73
2007-02,36.23
2007-03,42.87
2007-04,44.24
2007-05,52.59
2007-06,58.70
2007-07,69.58
2007-08,64.95
2007-09,57.16
2007-10,46.11
2007-11,39.32
2007-12,30.21
2008-01,27.87
2008-02,35.06
2008-03,36.45
2008-04,39.91
2008-05,51.02
2008-06,56.05
2008-07,66.39
2008-08,65.66
2008-09,58.89
2008-10,48.95
2008-11,42.33
2008-12,29.97
2009-01,33.72
2009-02,34.50
2009-03,36.11
2009-04,42.87
2009-05,52.55
2009-06,58.32
2009-07,67.74
2009-08,65.48
2009-09,61.93
2009-10,44.83
2009-11,38.05
2009-12,28.09
2010-01,36.70
2010-02,37.05
2010-03,39.34
2010-04,41.53
2010-05,45.96
2010-06,55.44
2010-07,65.07
2010-08,63.86
2010-09,58.23
2010-10,50.41
2010-11,36.75
2010-12,33.59
2011-01,33.20
2011-02,32.12
2011-03,37.37
2011-04,39.49
2011-05,45.98
2011-06,54.56
2011-07,62.39
2011-08,66.62
2011-09,62.72
2011-10,49.01
2011-11,36.46
2011-12,32.54
2012-01,33.81
2012-02,34.50
2012-03,37.75
2012-04,45.58
2012-05,50.26
2012-06,55.41
2012-07,66.25
2012-08,67.75
2012-09,61.71
2012-10,48.86
2012-11,40.60
2012-12,32.10
2013-01,28.66
2013-02,34.64
2013-03,40.34
2013-04,44.62
2013-05,52.10
2013-06,58.82
2013-07,69.43
2013-08,66.57
2013-09,58.85
2013-10,46.01
2013-11,39.13
2013-12,29.15
2014-01,36.35
2014-02,34.68
2014-03,41.34
2014-04,44.90
2014-05,53.08
2014-06,57.71
2014-07,69.67
2014-08,66.99
2014-09,60.92
2014-10,52.69
2014-11,38.31
2014-12,35.91
2015-01,37.12
2015-02,41.54
2015-03,44.97
2015-04,44.00
2015-05,53.02
2015-06,65.24
2015-07,67.45
2015-08,67.43
2015-09,58.10
2015-10,54.22
2015-11,36.09
2015-12,32.31
2016-01,32.61
2016-02,39.45
2016-03,40.57
2016-04,49.76
2016-05,52.70
2016-06,60.22
2016-07,64.42
2016-08,66.60
2016-09,57.17
2016-10,48.23
2016-11,43.31
2016-12,26.97
2017-01,25.79
2017-02,34.47
2017-03,41.06
2017-04,42.37
2017-05,52.34
2017-06,59.49
2017-07,68.93
2017-08,69.71
2017-09,60.11
2017-10,46.75
2017-11,39.43
2017-12,31.89
2018-01,37.17
2018-02,32.91
2018-03,37.71
2018-04,44.82
2018-05,55.16
2018-06,57.94
2018-07,68.57
2018-08,66.76
2018-09,57.46
2018-10,48.64
2018-11,39.15
2018-12,32.19
